knn_feature,knn_importance,lr_feature,lr_coefficient,lr_p_value,lr_t_value,lr_std_err,tree_feature,tree_importance,nn_feature,nn_importance
BsmtHalfBath,0.7191451104550326,MiscVal,-3.4293965809914333,0.5253388135764694,-0.6355533680309889,5.395922283625157,PoolQC,0.00014432811089779514,BsmtCond,1.8779608084440458e-05
WoodDeckSF,0.6898463530639872,PavedDrive,1553.9987995694787,0.5496580440188874,0.5986517449104098,2595.8310700356174,GarageCond,0.00011754944387232458,TotRmsAbvGrd,9.162334033208098e-06
ScreenPorch,0.6806468779588292,HalfBath,1546.372589568763,0.6221728158259245,0.49305902417653846,3136.2829068008064,BsmtFullBath,6.63073155387436e-05,BsmtHalfBath,6.634121645998636e-06
GarageCond,0.6434889442112859,GarageYrBlt,35.3956931563381,0.6919672177959373,0.39640068900146663,89.29271350536713,3SsnPorch,3.348365170710877e-05,ExterCond,3.6848879924389343e-06
BsmtUnfSF,0.609430624291247,YearRemodAdd,34.481299950621064,0.7126349305526984,0.36851477812048034,93.56829630139805,ScreenPorch,1.3207440395581794e-05,YrSold,3.10877078323335e-06
LotArea,0.5985399684044326,OpenPorchSF,-5.501095548149436,0.7271163594001572,-0.34914661660604057,15.75583232518216,GarageQual,6.542085475944375e-06,GarageCond,1.2986874112663748e-06
HalfBath,0.574023830041079,Fireplaces,-958.7047113992376,0.7887544635492627,-0.2680623376681382,3576.4244978946513,BsmtHalfBath,6.004692807420925e-06,GarageQual,-2.7264620303668607e-06
GarageQual,0.5627424679368749,BsmtHalfBath,1099.3168361624357,0.8239276251593792,0.22260515188416427,4938.415965927333,FullBath,3.6468657250016177e-06,BsmtFullBath,-1.1694078157564735e-05
3SsnPorch,0.5592334734933261,HeatingQC,216.5533711911121,0.8846651547647845,0.14512700232408815,1492.164571190682,CentralAir,3.6087935728772784e-06,MoSold,-4.8320586107597485e-05
HeatingQC,0.5489816400594824,BsmtFinSF2,0.7318434191928169,0.8975802640124129,0.1287797138064852,5.682909190903653,KitchenAbvGr,1.339346068284351e-06,GarageYrBlt,-5.953444408918207e-05
OpenPorchSF,0.5265398219393127,FullBath,195.0596437101558,0.9521227291837101,0.06006942723097101,3247.2366177246586,LowQualFinSF,3.720405745234308e-08,YearRemodAdd,-0.00012724410000934937
GarageYrBlt,0.4389718949630653,CentralAir,160.7898203988898,0.9752699494302827,0.031013962191029313,5184.433366124297,PoolArea,0.0,1stFlrSF,-0.0030472129883221564
2ndFlrSF,0.32599622197415895,GarageCars,-69.69312697114128,0.9850322090392805,-0.01876919975378776,3713.164540063926,MiscVal,0.0,LotArea,-0.01794146348455352
